Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10),NH3_X(22)
0.0,0.05595639656,0.054,0.0,0.0,0.0396970656799101,0.88,0.0,0.0,0.0,0.066,0.0,0.0,0.0
7.666772103621099e-24,0.05595639656,0.054,0.0,0.0,0.03969706567991009,0.88,0.0,0.0,0.0,0.066,0.0,1.731668990193554e-18,3.6366281322330176e-20
2.1466961890139077e-23,0.05595639656,0.054,0.0,0.0,0.0396970656799101,0.88,0.0,0.0,0.0,0.066,0.0,4.8486731725419525e-18,1.0182558770252443e-19
4.906734146317503e-23,0.05595639656,0.054,0.0,0.0,0.03969706567991009,0.88,0.0,0.0,0.0,0.066,0.0,1.1082681537238745e-17,2.3274420046291264e-19
1.0426810060924694e-22,0.05595639656,0.054,0.0,0.0,0.039697065679910076,0.88,0.0,0.0,0.0,0.066,0.0,2.355069826663233e-17,4.945814259836878e-19
2.146696189013908e-22,0.05595639656,0.054,0.0,0.0,0.03969706567991005,0.88,0.0,0.0,0.0,0.066,0.0,4.8486731725419465e-17,1.018255877025233e-18
4.354726554856784e-22,0.05595639656,0.054,0.0,0.0,0.03969706567991,0.88,0.0,0.0,0.0,0.066,0.0,9.83587986429936e-17,2.0656047791083033e-18
8.770787286542537e-22,0.05595639656,0.054,0.0,0.0,0.039697065679909896,0.88,0.0,0.0,0.0,0.066,0.0,1.9810293247814135e-16,4.160302583274364e-18
1.760290874991404e-21,0.05595639656,0.054,0.0,0.0,0.039697065679909695,0.8799999999999999,0.0,0.0,0.0,0.066,0.0,3.975912001484349e-16,8.349698191606162e-18
3.526715167665705e-21,0.05595639656,0.054,0.0,0.0,0.039697065679909285,0.8799999999999997,0.0,0.0,0.0,0.06599999999999999,0.0,7.965677354890135e-16,1.6728489408268465e-17
7.059563753014308e-21,0.05595639656,0.054,0.0,0.0,0.03969706567990847,0.8799999999999992,0.0,0.0,0.0,0.06599999999999998,0.0,1.5945208061701377e-15,3.348607184158792e-17
1.4125260923711513e-20,0.05595639656,0.054,0.0,0.0,0.03969706567990684,0.8799999999999985,0.0,0.0,0.0,0.06599999999999995,0.0,3.190426947532253e-15,6.700123670820617e-17
